"","x"
"1530",17
"1531",17
"1532",1
"1533",6
"1534",19
"1535",17
"1536",17
"1537",6
"1538",7
"1539",18
"1540",5
"1541",8
"1542",5
"1543",19
"1544",5
"1545",5
"1546",17
"1547",5
"1548",7
"1549",17
"1550",2
"1551",5
"1552",1
"1553",5
"1554",20
"1555",8
"1556",20
"1557",1
"1558",5
"1559",19
"1560",17
"1561",5
"1562",5
"1563",1
"1564",14
"1565",1
"1566",7
"1567",17
"1568",5
"1569",1
"1570",10
"1571",6
"1572",9
"1573",5
"1574",15
"1575",20
"1576",1
"1577",8
"1578",20
"1579",1
"1580",15
"1581",5
"1582",1
"1583",7
"1584",7
"1585",3
"1586",11
"1587",5
"1588",1
"1589",19
"1590",9
"1591",3
"1592",1
"1593",2
"1594",17
"1595",6
"1596",8
"1597",3
"1598",3
"1599",13
"1600",19
"1601",13
"1602",8
"1603",17
"1604",1
"1605",5
"1606",17
"1607",1
"1608",17
"1609",5
"1610",5
"1611",4
"1612",19
"1613",17
"1614",6
"1615",19
"1616",17
"1617",15
"1618",1
"1619",2
"1620",9
"1621",17
"1622",17
"1623",1
"1624",17
"1625",8
"1626",9
"1627",11
"1628",17
"1629",5
"1630",5
"1631",17
"1632",8
"1633",1
"1634",19
"1635",5
"1636",19
"1637",5
"1638",1
"1639",2
"1640",6
"1641",5
"1642",2
"1643",5
"1644",13
"1645",17
"1646",6
"1647",10
"1648",1
"1649",17
"1650",1
"1651",1
"1652",1
"1653",19
"1654",2
"1655",5
"1656",12
"1657",6
"1658",18
"1659",1
"1660",1
"1661",1
"1662",15
"1663",18
"1664",19
"1665",1
"1666",2
"1667",1
"1668",15
"1669",2
"1670",5
"1671",18
"1672",14
"1673",17
"1674",5
"1675",6
"1676",18
"1677",5
"1678",4
"1679",1
"1680",19
"1681",2
"1682",1
"1683",5
"1684",1
"1685",1
"1686",6
"1687",13
"1688",2
"1689",5
"1690",15
"1691",5
"1692",8
"1693",8
"1694",1
"1695",9
"1696",5
"1697",13
"1698",17
"1699",3
"1700",17
"1701",19
"1702",2
"1703",5
"1704",6
"1705",1
"1706",17
"1707",1
"1708",5
"1709",20
"1710",1
"1711",19
"1712",1
"1713",17
"1714",1
"1715",20
"1716",1
"1717",7
"1718",18
"1719",9
"1720",4
"1721",14
"1722",1
"1723",1
"1724",16
"1725",19
"1726",6
"1727",7
"1728",19
"1729",5
"1730",13
"1731",5
"1732",5
"1733",1
"1734",5
"1735",17
"1736",5
"1737",5
"1738",5
"1739",19
"1740",7
"1741",5
"1742",19
"1743",1
"1744",2
"1745",5
"1746",5
"1747",17
"1748",11
"1749",1
"1750",5
"1751",2
"1752",8
"1753",5
"1754",18
"1755",19
"1756",8
"1757",5
"1758",18
"1759",1
"1760",7
"1761",1
"1762",5
"1763",3
"1764",19
"1765",3
"1766",17
"1767",1
"1768",19
"1769",17
"1770",17
