,X1,cause,effect,doc_ind,sentence_ind
789,868,Xseal,Xmaint,241,1
790,869,Xseal,Xmaint,241,1
791,870,Xseal,Xmaint,241,1
792,871,Xseal,Xmaint,241,1
793,872,Xseal,Xmaint,241,1
794,873,Xleak,Xmaint,241,1
795,874,Xleak,Xmaint,241,1
796,875,Xind,Xind,242,1
797,876,Xind,Xind,242,1
798,877,Xind,Xmaint,242,1
799,878,Xind,Xmaint,242,1
800,880,Xind,Xind,242,1
801,881,Xind,Xmaint,242,1
802,882,Xind,Xmaint,242,1
803,883,Xind,Xind,242,1
804,884,Xind,Xmaint,242,1
805,885,Xind,Xmaint,242,1
806,887,Xind,Xmaint,242,1
807,888,Xind,Xmaint,242,1
808,889,Xind,Xind,242,1
809,890,Xind,Xmaint,242,1
810,891,Xind,Xmaint,242,1
811,892,Xother,Xtransformer,243,1
812,893,Xbreather,Xtransformer,243,1
813,894,Xother,Xcontrol,244,1
814,895,Xother,Xcontrol,244,1
815,896,Xseal,Xtransformer,245,1
816,897,Xseal,Xtransformer,245,1
817,898,Xbreather,Xtransformer,245,1
818,899,Xother,Xalarm,246,1
819,900,Xother,Xalarm,246,1
820,901,Xcontrol,Xalarm,246,1
821,902,Xseal,Xtransformer,247,1
822,904,Xseal,Xtransformer,248,1
823,906,Xother,Xtransformer,249,1
824,907,Xother,Xtransformer,249,1
825,908,Xcontrol,Xtransformer,249,1
826,909,Xother,Xbreather,250,1
827,910,Xother,Xbreather,250,1
828,911,Xcontrol,Xbreather,250,1
829,912,Xseal,Xtransformer,251,1
830,913,Xbreather,Xtransformer,251,1
831,914,Xother,Xmaint,252,1
832,915,Xother,Xmaint,252,1
833,916,Xseal,Xtransformer,253,1
834,917,Xbreather,Xtransformer,253,1
835,918,Xother,Xalarm,254,1
836,919,Xother,Xalarm,254,1
837,920,Xcontrol,Xalarm,254,1
838,921,Xseal,Xtransformer,255,1
839,922,Xbreather,Xtransformer,255,1
840,923,Xother,Xtransformer,256,1
841,924,Xother,Xbreather,256,1
842,925,Xother,Xtransformer,256,1
843,926,Xother,Xbreather,256,1
844,927,Xcontrol,Xtransformer,256,1
845,928,Xcontrol,Xbreather,256,1
846,929,Xlevellow,Xmaint,257,1
847,930,Xlevelinc,Xmaint,257,1
848,931,Xseal,Xtransformer,258,1
849,932,Xseal,Xtransformer,259,1
850,933,Xseal,Xtransformer,259,1
851,934,Xbreather,Xtransformer,259,1
852,935,Xbreather,Xtransformer,259,1
853,936,Xother,Xtransformer,260,1
854,937,Xother,Xbreather,260,1
855,938,Xother,Xtransformer,260,1
856,939,Xother,Xbreather,260,1
857,940,Xcontrol,Xtransformer,260,1
858,941,Xcontrol,Xbreather,260,1
859,942,Xother,Xother,261,1
860,943,Xother,Xmaint,261,1
861,944,Xother,Xmaint,261,1
862,945,Xother,Xmaint,261,1
863,946,Xother,Xmaint,261,1
864,947,Xother,Xmaint,261,1
865,948,Xother,Xmaint,261,1
866,949,Xseal,Xbreather,262,1
867,950,Xother,Xtransformer,263,1
868,952,Xother,Xbreather,264,1
869,953,Xseal,Xcontrol,265,1
870,954,Xother,Xtransformer,266,1
871,955,Xother,Xtransformer,266,1
872,956,Xcontrol,Xtransformer,266,1
873,957,Xseal,Xtransformer,267,1
874,959,Xseal,Xmaint,268,1
875,960,Xseal,Xmaint,268,1
876,961,Xbreather,Xmaint,268,1
877,962,Xbreather,Xmaint,268,1
878,964,Xseal,Xtransformer,270,1
879,965,Xbreather,Xtransformer,270,1
880,966,Xseal,Xlevellow,271,1
881,968,Xseal,Xtransformer,272,1
882,969,Xind,Xtransformer,272,1
883,970,Xind,Xtransformer,272,1
884,971,Xseal,Xtransformer,273,1
885,972,Xother,Xtransformer,273,1
886,973,Xseal,Xtransformer,274,1
887,974,Xbreather,Xtransformer,274,1
888,975,Xother,Xtransformer,275,1
889,976,Xother,Xtransformer,275,1
890,977,Xcontrol,Xtransformer,275,1
891,978,Xother,Xbreather,276,1
892,979,Xother,Xbreather,276,1
893,980,Xcontrol,Xbreather,276,1
